items,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Image_ins1.started,Key_ins1.started,Key_ins1.keys,Key_ins1.rt,Key_ins1.duration,Image_ins2.started,Key_ins2.started,Key_ins2.keys,Key_ins2.rt,Key_ins2.duration,Image_ins3.started,Key_ins3.started,Key_ins3.keys,Key_ins3.rt,Key_ins3.duration,Image_ins4.started,Key_ins4.started,Key_ins4.keys,Key_ins4.rt,Key_ins4.duration,Image_ins5.started,Key_ins5.started,Key_ins5.keys,Key_ins5.rt,Key_ins5.duration,Fixcross_Practice.started,Text_Catpracticeregis.started,Mic_catpractice.started,Mic_catpractice.clip,Image_ins6.started,Key_ins6.started,Key_ins6.keys,Key_ins6.rt,Key_ins6.duration,Image_ins7.started,Key_ins7.started,Key_ins7.keys,Key_ins7.rt,Key_ins7.duration,Fixcross_test.started,Fixcross_test.stopped,Text_cattextregis.started,Mic_cattestresgis.started,Mic_cattestresgis.clip,Image_ins8.started,Image_ins9.started,Key_ins9.started,Key_ins9.keys,Key_ins9.rt,Key_ins9.duration,Image_ins10.started,Key_ins10.started,Key_ins10.keys,Key_ins10.rt,Key_ins10.duration,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,43.194420041982085,43.194420041982085,space,66.16984495799989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
,,,,,,,,,,109.45019066700479,109.45019066700479,space,22.48446283399244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
,,,,,,,,,,,,,,,131.97302737500286,131.97302737500286,space,14.221600249991752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
,,,,,,,,,,,,,,,,,,,,146.22756433399627,146.22756433399627,space,18.45555954199517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
,,,,,,,,,,,,,,,,,,,,,,,,,164.71183700000984,164.71183700000984,space,28.188809374987613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.93081379198702,193.54635849999613,0.01679470800445415,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_catpractice_recorded/recording_Mic_catpractice_2024-04-02_14h44.22.832.wav,313.62325450000935,313.62325450000935,space,3.0127809999976307,None,,,,,,,,,,,,,,,,,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
LIQUIDS,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.7475314589974,316.7475314589974,space,3.175616875028936,None,319.9458856669953,320.4872601249954,320.4872601249954,0.0070027920010033995,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_14h46.29.861.wav,440.66668491699966,450.4779232919973,450.4779232919973,space,2.9551837909966707,0.047935834008967504,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
MEDICAL CONDITIONS,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.52871874999255,453.52871874999255,space,4.633227291982621,None,458.1811685419816,,458.72020858398173,0.006791082996642217,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_14h48.48.076.wav,578.8672944169957,588.6861763749912,588.6861763749912,space,4.14905666699633,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
HOLIDAYS,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.8674645840074,592.8674645840074,space,1.9761428330093622,None,594.8648712919967,595.4022684590018,595.4022684590018,0.003625833021942526,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_14h51.04.757.wav,715.5607873749977,725.381888999982,725.381888999982,space,3.7126395830127876,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
OCCUPATIONS,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.129940209008,729.129940209008,space,1.5195311660063453,None,730.6662019999931,731.2003190839896,731.2003190839896,0.0034047499939333647,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_14h53.20.552.wav,851.361472583987,861.1697142089834,861.1697142089834,space,9.052771874994505,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
VEGETABLES,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870.2711971249955,870.2711971249955,space,5.5396739580028225,None,875.8341070419992,,876.3837904999964,0.007908542000222951,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_14h55.45.719.wav,996.5333312090079,1006.3403112500091,1006.3403112500091,space,3.3958812080090865,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
BODY PARTS,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009.7709783340106,1009.7709783340106,space,2.980127166985767,None,1012.769438208983,,1013.3235478749848,0.019595916994148865,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_14h58.02.666.wav,1133.4674166250043,1143.278773750004,1143.278773750004,space,2.9311955829907674,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
FRUITS,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.2964330000104,1146.2964330000104,space,3.2722015830222517,None,1149.587317833997,1150.1220662499836,1150.1220662499836,0.0035463329986669123,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_15h00.19.464.wav,1270.272662125004,1280.0883925840026,1280.0883925840026,space,6.504744125006255,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
MEANS OF TRANSPORT,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1286.6279348749958,1286.6279348749958,space,1.1640816669969354,None,1287.8217051250103,1288.3552802089835,1288.3552802089835,0.0038465829857159406,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_15h02.37.693.wav,1408.5147744590067,1418.3441415420093,1418.3441415420093,space,6.243884291005088,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
ANIMALS,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.6233638749982,1424.6233638749982,space,1.9600654579990078,None,1426.6052229999914,1427.1440073339909,1427.1440073339909,0.00831137501518242,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_15h04.56.476.wav,1547.2942568750004,1557.1239532089967,1557.1239532089967,space,4.804660082998453,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
TOOLS,0,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.9770194999874,1561.9770194999874,space,15.479109500010964,None,1577.4732516249933,1578.006566458993,1578.006566458993,0.001465584005927667,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_15h07.27.341.wav,1698.1546029169986,1707.9918528340058,1707.9918528340058,space,3.1944142089923844,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
MUSICAL INSTRUMENTS,0,10,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.2147116670094,1711.2147116670094,space,1.7328977920114994,None,1712.975023084,1713.5082544999896,1713.5082544999896,0.0027812089829239994,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_15h09.42.838.wav,1833.676425999991,1843.4801260000095,1843.4801260000095,space,3.26986750002834,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
HOBBIES,0,11,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846.7787428750016,1846.7787428750016,space,2.3961175000004005,None,1849.1925073750026,,1849.7290210420033,0.006263040995690972,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_15h11.59.056.wav,1969.8844274169824,1979.7019927499932,1979.7019927499932,space,2.331108958023833,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
HOME APPLIANCES,0,12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0755455839972,1982.0755455839972,space,3.7085920000099577,None,1985.810605250008,,1986.3454174170038,0.0046297499793581665,/Users/xwx/Desktop/Semantic_fluency_FULL_D/data/898793_PRE_PILOT_2024-04-02_14h39.41.705_Mic_cattestresgis_recorded/recording_Mic_cattestresgis_2024-04-02_15h14.15.666.wav,2106.4856846669863,2116.3214334170043,2116.3214334170043,space,2.055990541004576,None,,,,,,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.3979318749916,2118.3979318749916,space,4.67947308300063,None,898793,001,2024-04-02_14h39.41.705,PRE_PILOT,2023.1.3,60.85300690281281,
