Key_mic.keys,Key_mic.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,Key_consent1.keys,Key_consent1.rt,Key_consent2.keys,Key_consent2.rt,Ky_consent3.keys,Ky_consent3.rt,Key_ins1.keys,Key_ins1.rt,Key_ins2.keys,Key_ins2.rt,Key_ins3.keys,Key_ins3.rt,Key_ins4.keys,Key_ins4.rt,Key_ins5.keys,Key_ins5.rt,Mic_catpractice.clip,Key_ins6.keys,Key_ins6.rt,Key_ins7.keys,Key_ins7.rt,Mic_cattestresgis.clip,Key_ins9.keys,Key_ins9.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,items,Key_ins10.keys,Key_ins10.rt
space,113.0613,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,space,1.825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,space,0.5077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,y,2.0775,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,space,4.0906,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,space,25.6798,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,space,17.0454,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,space,17.6,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,space,6.5945,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,recording_Mic_catpractice_ExperimentHandler_undefined,,,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,space,22.9419,,,,,,,,,,,,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,3.7188,recording_Mic_cattestresgis_trials_0,space,6.2115,0,0,0,4,1,FOODS,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,3.1766,recording_Mic_cattestresgis_trials_1,space,9.0074,0,1,1,12,1,NATURAL ENVIRONMENT,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,1.4324,recording_Mic_cattestresgis_trials_2,space,1.2256,0,2,2,11,1,ACCOMODATIONS,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,2.2883,recording_Mic_cattestresgis_trials_3,space,1.9724,0,3,3,1,1,TECHNOLOGY GADGETS & DEVICES,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,7.4614,recording_Mic_cattestresgis_trials_4,space,24.7601,0,4,4,0,1,OFFICE SUPPLIES,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,2.8763,recording_Mic_cattestresgis_trials_5,space,2.4506,0,5,5,7,1,TOYS,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,2.5341,recording_Mic_cattestresgis_trials_6,space,2.7891,0,6,6,9,1,FURNITURE,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,5.712,recording_Mic_cattestresgis_trials_7,space,22.1868,0,7,7,6,1,FLOWERS,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,1.5509,recording_Mic_cattestresgis_trials_8,space,9.4743,0,8,8,3,1,THINGS FOUND IN KITCHENS,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,1.3902,recording_Mic_cattestresgis_trials_9,space,4.583,0,9,9,8,1,SPORTS,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,1.8125,recording_Mic_cattestresgis_trials_10,space,1.2907,0,10,10,5,1,CLOTHING,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,2.2792,recording_Mic_cattestresgis_trials_11,space,1.9479,0,11,11,10,1,COUNTRIES,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,space,1.9151,recording_Mic_cattestresgis_trials_12,space,5.3221,0,12,12,2,1,NON-FOOD ITEMS FOUND IN SUPERMARKET,,
,,004144,001,2024-04-11_16h21.41.634,semantic_fluency_fullB,2023.1.2,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.1031
